Dataset,PoziomUszkodzen,Metoda,Model,AUC_srednia,AUC_std,Liczba_powtorzen
rezygnacje,40%,fill,RF,0.7016,0.0201,9
rezygnacje,40%,fill,XGBoost,0.7211,0.0239,9
rezygnacje,40%,fill_knn,MLP,0.4998,0.0121,9
rezygnacje,40%,fill_knn,NB,0.6058,0.0185,9
rezygnacje,40%,fill_knn,RF,0.6698,0.0217,9
rezygnacje,40%,fill_knn,XGBoost,0.706,0.018,9
rezygnacje,40%,fill_norm,MLP,0.5314,0.0239,9
rezygnacje,40%,fill_norm,NB,0.5617,0.0159,9
rezygnacje,40%,fill_norm,RF,0.7016,0.0201,9
rezygnacje,40%,fill_norm,XGBoost,0.7211,0.0239,9
rezygnacje,40%,raw,MLP,0.4912,0.0145,9
rezygnacje,40%,raw,NB,0.6014,0.0186,9
rezygnacje,40%,raw,RF,0.7011,0.0173,9
rezygnacje,40%,raw,XGBoost,0.73,0.0182,9
rezygnacje,40%,remove_fill,MLP,0.5854,0.0402,9
rezygnacje,40%,remove_fill,NB,0.6856,0.0263,9
rezygnacje,40%,remove_fill,RF,0.7082,0.0201,9
rezygnacje,40%,remove_fill,XGBoost,0.7276,0.0153,9
rezygnacje,50%,all,MLP,0.5245,0.0146,9
rezygnacje,50%,all,NB,0.5847,0.0127,9
rezygnacje,50%,all,RF,0.6586,0.0082,9
rezygnacje,50%,all,XGBoost,0.6853,0.0049,9
rezygnacje,50%,all_knn,MLP,0.5201,0.0224,9
rezygnacje,50%,all_knn,NB,0.5842,0.0128,9
rezygnacje,50%,all_knn,RF,0.6271,0.0155,9
rezygnacje,50%,all_knn,XGBoost,0.6448,0.0115,9
rezygnacje,50%,fill,MLP,0.4984,0.0144,9
rezygnacje,50%,fill,NB,0.5836,0.0212,9
rezygnacje,50%,fill,RF,0.656,0.0167,9
rezygnacje,50%,fill,XGBoost,0.6932,0.0097,9
rezygnacje,50%,fill_knn,MLP,0.5007,0.0161,9
rezygnacje,50%,fill_knn,NB,0.5823,0.0207,9
rezygnacje,50%,fill_knn,RF,0.6206,0.0137,9
rezygnacje,50%,fill_knn,XGBoost,0.6486,0.0126,9
rezygnacje,50%,fill_norm,MLP,0.5033,0.0152,9
rezygnacje,50%,fill_norm,NB,0.5121,0.0081,9
rezygnacje,50%,fill_norm,RF,0.6559,0.0167,9
